"idx","id","status","target_function","expected_output_files","failure_category","reason"
"3","cvdp_copilot_64b66b_encoder_0001","PASS","encoder_64b66b","rtl/encoder_64b66b.sv","Passed CVDP",""
"7","cvdp_copilot_apb_dsp_unit_0001","MODEL_OR_MYGO_ERROR","apb_dsp_unit","rtl/apb_dsp_unit.v","MyGo/CIRCT backend SSA error","MyGo compile failed for reused model output: MyGo verilog FAIL. C:\temp\mygo_cvdp_work\07_cvdp_copilot_apb_dsp_unit_0001_1780696084327_15616\.mygo-tmp\.mygo-circt-3645026439\design.mlir:319:37: error: use of undeclared SSA value name %read_pready327 = sv.read_inout %const_70 : !hw.inout<i1> ^ backend: circt-opt --pass-pipeline failed: exit status 1"
"9","cvdp_copilot_apb_history_shift_register_0001","PASS","APBGlobalHistoryRegister","rtl/APBGlobalHistoryRegister.v","Passed CVDP",""
"10","cvdp_copilot_axi_register_0001","MODEL_OR_MYGO_ERROR","axi_register","rtl/axi_register.sv","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 307.3s"
"14","cvdp_copilot_barrel_shifter_0001","MODEL_OR_MYGO_ERROR","barrel_shifter_8bit","rtl/barrel_shifter_8bit.sv","MyGo timeout","MyGo compile failed for reused model output: MyGo mlir TIMEOUT after 302.6s"
"17","cvdp_copilot_binary_to_one_hot_decoder_0001","MODEL_OR_MYGO_ERROR","binary_to_one_hot_decoder","rtl/binary_to_one_hot_decoder.v","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 304.0s"
"18","cvdp_copilot_caesar_cipher_0001","MODEL_OR_MYGO_ERROR","caesar_cipher","rtl/caesar_cipher.sv","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 5604.2s"
"19","cvdp_copilot_car_parking_management_0001","MODEL_OR_MYGO_ERROR","car_parking_system","rtl/car_parking_system.sv","Model output Go compile error","MyGo compile failed for reused model output: MyGo ir FAIL. error: C:\temp\mygo_cvdp_work\19_cvdp_copilot_car_parking_management_0001_1780702641414_15616\main.go:77:1: missing return package loading failed"
"22","cvdp_copilot_comparator_0001","PASS","signed_unsigned_comparator","rtl/signed_comparator.sv","Passed CVDP",""
"24","cvdp_copilot_concatenate_0001","MODEL_OR_MYGO_ERROR","enhanced_fsm_signal_processor","rtl/enhanced_fsm_signal_processor.v","MyGo compile/backend error","MyGo compile failed for reused model output: MyGo mlir FAIL after 275.7s"
"28","cvdp_copilot_convolutional_encoder_0001","MODEL_OR_MYGO_ERROR","convolutional_encoder","rtl/convolutional_encoder.sv","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 302.7s"
"30","cvdp_copilot_data_width_converter_0003","PASS","data_width_converter","rtl/data_width_converter.sv","Passed CVDP",""
"33","cvdp_copilot_digital_dice_roller_0001","PASS","digital_dice_roller","rtl/digital_dice_roller.sv","Passed CVDP",""
"35","cvdp_copilot_edge_detector_0001","MODEL_OR_MYGO_ERROR","sync_pos_neg_edge_detector","rtl/sync_pos_neg_edge_detector.sv","Model output Go compile error","MyGo compile failed for reused model output: MyGo ir FAIL. error: C:\temp\mygo_cvdp_work\35_cvdp_copilot_edge_detector_0001_1780703273885_15616\main.go:14:1: missing return package loading failed"
"36","cvdp_copilot_ethernet_packet_parser_0001","MODEL_OR_MYGO_ERROR","field_extract","rtl/ethernet_parser.v","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 303.8s"
"39","cvdp_copilot_fibonacci_series_0001","PASS","fibonacci_series","rtl/fibonacci_series.sv","Passed CVDP",""
"40","cvdp_copilot_fifo_async_0001","PASS","fifo_async","rtl/fifo_async.sv","Passed CVDP",""
"43","cvdp_copilot_gcd_0001","MODEL_OR_MYGO_ERROR","gcd_top","rtl/gcd_top.sv","Model used unsupported Go construct","Do not use unsupported Go constructs."
"44","cvdp_copilot_gf_multiplier_0001","PASS","gf_multiplier","rtl/gf_multiplier.sv","Passed CVDP",""
"52","cvdp_copilot_morse_code_0001","MODEL_OR_MYGO_ERROR","morse_encoder","rtl/morse_encoder.sv","MyGo timeout","MyGo compile failed for reused model output: MyGo mlir TIMEOUT after 305.4s"
"58","cvdp_copilot_perf_counters_0001","PASS","cvdp_copilot_perf_counters","rtl/cvdp_copilot_perf_counters.sv","Passed CVDP",""
"60","cvdp_copilot_piso_0001","MODEL_OR_MYGO_ERROR","piso_8bit","rtl/piso_8bit.sv","Go toolchain access error","MyGo compile failed for reused model output: MyGo ir FAIL. err: fork/exec C:\Program Files\Go\bin\go.exe: Access is denied.: stderr:"
"62","cvdp_copilot_restoring_division_0001","PASS","restoring_division","rtl/restore_division.sv","Passed CVDP",""
"63","cvdp_copilot_reverse_bits_0001","MODEL_OR_MYGO_ERROR","reverse_bits","rtl/reverse_bits.v","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 303.1s"
"64","cvdp_copilot_secure_read_write_bus_0001","MODEL_OR_MYGO_ERROR","secure_read_write_bus_interface","rtl/secure_read_write_bus_interface.v","Go toolchain access error","MyGo compile failed for reused model output: MyGo ir FAIL. err: fork/exec C:\Program Files\Go\bin\go.exe: Access is denied.: stderr:"
"65","cvdp_copilot_secure_read_write_register_bank_0001","MODEL_OR_MYGO_ERROR","secure_read_write_register_bank","rtl/secure_read_write_register_bank.v","MyGo/CIRCT backend SSA error","MyGo compile failed for reused model output: MyGo verilog FAIL. C:\temp\mygo_cvdp_work\65_cvdp_copilot_secure_read_write_register_bank_0001_1780704341275_15616\.mygo-tmp\.mygo-circt-688119169\design.mlir:226:26: error: use of undeclared SSA value name %v53 = sv.read_inout %prev_pulse : !hw.inout<i1> ^ backend: circt-opt --pass-pipeline failed: exit status 1"
"66","cvdp_copilot_sequencial_binary_to_one_hot_decoder_0001","MODEL_OR_MYGO_ERROR","binary_to_one_hot_decoder_sequential","rtl/binary_to_one_hot_decoder_sequential.v","MyGo timeout","MyGo compile failed for reused model output: MyGo ir TIMEOUT after 303.7s"
"67","cvdp_copilot_serial_in_parallel_out_0004","PASS","serial_in_parallel_out_8bit","rtl/serial_in_parallel_out_8bit.sv","Passed CVDP",""
"68","cvdp_copilot_set_bit_calculator_0001","MODEL_OR_MYGO_ERROR","SetBitStreamCalculator","rtl/SetBitStreamCalculator.v","MyGo timeout","MyGo compile failed for reused model output: MyGo mlir TIMEOUT after 304.0s"
"70","cvdp_copilot_static_branch_predict_0001","MODEL_OR_MYGO_ERROR","static_branch_predict","rtl/static_branch_predict.sv","Go toolchain access error","MyGo compile failed for reused model output: MyGo ir FAIL. err: fork/exec C:\Program Files\Go\bin\go.exe: Access is denied.: stderr:"
"73","cvdp_copilot_thermostat_0001","PASS","thermostat","rtl/thermostat.v","Passed CVDP",""
"74","cvdp_copilot_ttc_lite_0001","MODEL_OR_MYGO_ERROR","ttc_counter_lite","rtl/ttc_counter_lite.sv","Model output Go compile error","MyGo compile failed for reused model output: MyGo ir FAIL. error: C:\temp\mygo_cvdp_work\74_cvdp_copilot_ttc_lite_0001_1780704994245_15616\main.go:121:1: missing return package loading failed"
"75","cvdp_copilot_unpacker_one_hot_0001","MODEL_OR_MYGO_ERROR","unpack_one_hot","rtl/unpack_one_hot.v","Model target function mismatch","Missing requested target function unpack_one_hot."
